asvs_requirement,chapter,section,level,applicability,status,evidence,notes
v5.0.0-11.4.3,Cryptography,Hashing and Hash-based Functions,2,Applicable,Automated,tests/security/test_cryptography_data_protection_controls.py::test_remote_execution_envelope_uses_authenticated_aes_256_gcm,Integrity/fingerprint operations use SHA-256 or authenticated encryption with 256-bit authentication/hash primitives.
v5.0.0-11.4.4,Cryptography,Hashing and Hash-based Functions,2,Not Applicable,Not Applicable,,"Journeyman does not derive encryption keys from human passwords. HKDF input for remote envelopes is a generated high-entropy dispatch token, not a password."
v5.0.0-11.5.1,Cryptography,Random Values,2,Applicable,Automated,tests/security/test_cryptography_data_protection_controls.py::test_runner_bootstrap_secrets_are_random_and_only_digests_are_stored; tests/security/test_cryptography_data_protection_controls.py::test_remote_execution_envelopes_use_fresh_salt_and_nonce,Non-guessable application secrets use Python secrets or os.urandom with at least 128 bits of entropy.
v5.0.0-11.5.2,Cryptography,Random Values,3,Applicable,Manually Verified,docs/security/CRYPTOGRAPHY.md,Randomness is delegated to Python secrets/os.urandom and the operating-system CSPRNG rather than application-maintained state.
v5.0.0-11.6.1,Cryptography,Public Key Cryptography,2,Not Applicable,Not Applicable,,Journeyman does not generate application public/private key pairs or application digital signatures.
v5.0.0-11.6.2,Cryptography,Public Key Cryptography,3,Not Applicable,Not Applicable,,Journeyman does not implement an application-level public-key key-exchange protocol.
v5.0.0-11.7.1,Cryptography,In-Use Data Cryptography,3,Applicable,Deferred,,Journeyman does not require or enforce full-memory encryption for sensitive data while it is in use.
v5.0.0-11.7.2,Cryptography,In-Use Data Cryptography,3,Applicable,Deferred,,"Secrets are decrypted only when needed by reveal/execution paths, but complete measurable plaintext-lifetime minimization and immediate re-encryption guarantees are not yet implemented."
v5.0.0-12.1.1,Secure Communication,General TLS Security Guidance,1,Applicable,Automated,tests/security/test_secure_communication_controls.py::test_managed_nginx_allows_only_tls_12_and_13,Managed Nginx configuration permits TLS 1.2 and TLS 1.3 only; TLS 1.3 is available as the latest supported protocol.
v5.0.0-12.1.2,Secure Communication,General TLS Security Guidance,2,Applicable,Automated,tests/security/test_asvs_automated_closeout.py::test_managed_nginx_disables_autoindex_and_constrains_tls_ciphers; tests/security/test_web_frontend_security_controls.py::test_managed_nginx_emits_hsts_for_tls_responses,"The managed Nginx configuration explicitly limits TLS to 1.2/1.3, pins a forward-secret AEAD TLS 1.2 cipher set, and disables session tickets."
v5.0.0-12.1.3,Secure Communication,General TLS Security Guidance,2,Not Applicable,Not Applicable,,Journeyman does not use mTLS client-certificate identities for authentication or authorization.
v5.0.0-12.1.4,Secure Communication,General TLS Security Guidance,3,Applicable,Deferred,,The managed Nginx configuration does not currently enforce/configure certificate revocation checking such as OCSP stapling.
v5.0.0-12.1.5,Secure Communication,General TLS Security Guidance,3,Applicable,Deferred,,Encrypted Client Hello is not currently configured by the Journeyman-managed TLS endpoint.
v5.0.0-12.2.1,Secure Communication,HTTPS Communication with External Facing Services,1,Applicable,Automated,tests/security/test_secure_communication_controls.py::test_managed_nginx_allows_only_tls_12_and_13,The packaged web service is exposed through the managed TLS Nginx endpoint; optional port 80 service only redirects to HTTPS.
v5.0.0-12.2.2,Secure Communication,HTTPS Communication with External Facing Services,1,Not Applicable,Not Applicable,,Journeyman is designed primarily for internal enterprise/OT deployment where organization-managed private PKI may be required; public Internet CA trust is not a universal application requirement.
v5.0.0-12.3.1,Secure Communication,General Service to Service Communication Security,2,Applicable,Automated,tests/security/test_outbound_security_controls.py; docs/security/OUTBOUND_COMMUNICATION.md,"Production external Git, Satellite, Zabbix and build-proxy destinations require HTTPS; remote PostgreSQL requires sslmode=verify-full; runners and LDAP retain their existing encrypted-transport controls."
v5.0.0-12.3.2,Secure Communication,General Service to Service Communication Security,2,Applicable,Automated,tests/security/test_outbound_security_controls.py; docs/security/OUTBOUND_COMMUNICATION.md,Production provider TLS verification cannot be disabled; remote PostgreSQL requires hostname-verifying TLS.
v5.0.0-12.3.3,Secure Communication,General Service to Service Communication Security,2,Applicable,Deferred,,"Remote runner HTTP traffic is HTTPS-only, but the local Nginx-to-Gunicorn hop uses HTTP over loopback and not every configurable internal HTTP endpoint is application-enforced as HTTPS."
v5.0.0-12.3.4,Secure Communication,General Service to Service Communication Security,2,Applicable,Manually Verified,docs/security/OUTBOUND_COMMUNICATION.md,Private PKI is supported through trusted system/application CA stores; disabling certificate validation is not an accepted production alternative.
v5.0.0-12.3.5,Secure Communication,General Service to Service Communication Security,3,Applicable,Deferred,,"Remote runners use high-entropy runner secrets and dispatch tokens over TLS, but Journeyman does not currently use replay-resistant public-key mutual authentication such as mTLS between services."
v5.0.0-13.1.1,Configuration,Configuration Documentation,2,Applicable,Manually Verified,docs/security/CONFIGURATION.md,Backend communication dependencies and administrator-configurable external destinations are documented.
v5.0.0-13.1.2,Configuration,Configuration Documentation,3,Applicable,Deferred,,A complete documented maximum-concurrency and saturation/fallback model for every external service is not yet defined.
v5.0.0-13.1.3,Configuration,Configuration Documentation,3,Applicable,Automated,tests/security/test_backend_failure_policy.py; docs/security/BACKEND_FAILURE_POLICY.md,"All known backend/helper boundaries have finite timeouts and documented retry budgets; Git/helper gaps are now bounded, LDAP failover is one attempt per enabled server, and cleanup/failure behaviour is documented and regression tested."
v5.0.0-13.1.4,Configuration,Configuration Documentation,3,Applicable,Automated,docs/security/SECRET_LIFECYCLE.md; tests/security/test_secret_lifecycle.py; tests/security/test_session_signing_key.py,"Journeyman documents explicit lifecycles for break-glass access, API tokens, session-signing keys, credential-encryption keys, Signal Source HMAC secrets, remote-system credentials, and one-time runner/bootstrap secrets, with automated verification of the enforceable lifecycle rules."
v5.0.0-13.2.1,Configuration,Backend Communication Configuration,2,Applicable,Deferred,,"Remote runners use per-runner authentication and database/external services require credentials, but Journeyman still supports long-lived service credentials rather than universally using short-term or certificate-based authentication."
v5.0.0-13.2.2,Configuration,Backend Communication Configuration,2,Applicable,Manually Verified,docs/security/CONFIGURATION.md; deploy/systemd/journeyman.service,Packaged services run under the dedicated journeyman account and deployment guidance requires least-privilege backend accounts; exact external-service privileges remain deployment-specific.
v5.0.0-13.2.3,Configuration,Backend Communication Configuration,2,Applicable,Manually Verified,docs/security/CONFIGURATION.md; deploy/journeyman.yml.example,Journeyman ships no working default credentials for backend services. External credentials are administrator supplied; documented secret placeholders are not accepted as the production session-signing secret.
v5.0.0-13.2.4,Configuration,Backend Communication Configuration,2,Applicable,Automated,tests/security/test_outbound_security_controls.py; docs/security/OUTBOUND_COMMUNICATION.md,"Production administrator-configured Git, inventory and environment-build proxy destinations are constrained by JOURNEYMAN_OUTBOUND_ALLOWED_HOSTS, which is owned outside the web UI."
v5.0.0-13.2.5,Configuration,Backend Communication Configuration,2,Applicable,Automated,tests/security/test_outbound_security_controls.py; app/config.py,Packaged ProductionConfig enforces the outbound destination allowlist at application validation and runtime request boundaries.
v5.0.0-13.2.6,Configuration,Backend Communication Configuration,3,Applicable,Deferred,,"Backend-specific timeouts exist, but connection-pool limits, saturation behaviour and retry strategies are not yet uniformly documented and enforced for every separate service."
v5.0.0-13.3.1,Configuration,Secret Management,2,Applicable,Deferred,,Journeyman encrypts stored secrets with an external file-backed key but does not yet integrate with a dedicated secrets-management solution or hardware-backed vault/HSM.
v5.0.0-13.3.2,Configuration,Secret Management,2,Applicable,Automated,tests/security/test_cryptography_data_protection_controls.py::test_credential_key_file_rejects_group_or_other_permissions; tests/security/test_authorization_controls.py::test_credential_secret_reveal_is_owner_only,Secret key material is permission-restricted and application secret reveal is subject to least-privilege authorization.
v5.0.0-13.3.3,Configuration,Secret Management,3,Applicable,Deferred,,Cryptographic operations currently execute in the Journeyman process using file-backed key material rather than an isolated HSM/security module.
v5.0.0-13.3.4,Configuration,Secret Management,3,Applicable,Automated,tests/security/test_secret_lifecycle.py; tests/security/test_session_signing_key.py; tests/security/test_service_coordinator.py,"Journeyman hard-expires break-glass access and API tokens, automatically rotates the session-signing key on eligible boots, warns administrators before or at rotation deadlines for encryption/HMAC secrets, and flags externally managed credentials for policy review without causing an availability-breaking local expiry."
v5.0.0-13.4.1,Configuration,Unintended Information Leakage,1,Applicable,Automated,tests/security/test_asvs_automated_closeout.py::test_release_archive_excludes_source_control_and_runtime_state; scripts/build_release_archive.py,"The supported release archive builder excludes .git metadata, runtime instance data, virtual environments, caches, logs, bytecode, and built tarballs; regression tests verify the exclusion boundary."
v5.0.0-13.4.2,Configuration,Unintended Information Leakage,2,Applicable,Automated,tests/security/test_configuration_controls.py::test_production_configuration_disables_debug_and_hardens_session_cookie; tests/security/test_configuration_controls.py::test_packaged_local_services_require_environment_file_and_web_is_production; tests/security/test_configuration_controls.py::test_development_entry_point_does_not_force_debug_mode,"Packaged production service configuration explicitly selects ProductionConfig, which disables debug mode; the development entry point no longer forces debug on."
v5.0.0-13.4.3,Configuration,Unintended Information Leakage,2,Applicable,Automated,tests/security/test_asvs_automated_closeout.py::test_managed_nginx_disables_autoindex_and_constrains_tls_ciphers; deployment/journeyman_apply_web_settings.py,The managed production Nginx configuration explicitly disables directory indexing with autoindex off.
v5.0.0-13.4.4,Configuration,Unintended Information Leakage,2,Applicable,Automated,tests/security/test_configuration_controls.py::test_trace_method_is_not_supported,The application does not expose TRACE routes; regression coverage requires HTTP TRACE to return Method Not Allowed.
v5.0.0-13.4.5,Configuration,Unintended Information Leakage,2,Applicable,Automated,tests/test_system_status.py::test_system_status_is_admin_only,Administrative monitoring/status information is intentionally exposed only through authorization-protected application endpoints; project documentation is not served as a web route.
v5.0.0-13.4.6,Configuration,Unintended Information Leakage,3,Applicable,Automated,tests/security/test_configuration_controls.py::test_application_response_headers_do_not_advertise_backend_framework_versions,"Application responses are checked not to advertise Python, Flask, Werkzeug or Gunicorn versions in response headers. Journeyman intentionally displays its own application version."
v5.0.0-13.4.7,Configuration,Unintended Information Leakage,3,Applicable,Deferred,,A strict reverse-proxy allowlist of servable file extensions is not currently enforced by Journeyman deployment configuration.
v5.0.0-14.1.1,Data Protection,Data Protection Documentation,2,Applicable,Manually Verified,docs/security/DATA_PROTECTION.md,"Sensitive Journeyman data is classified into restricted secrets, protected operational data and ordinary metadata."
v5.0.0-14.1.2,Data Protection,Data Protection Documentation,2,Applicable,Manually Verified,docs/security/DATA_PROTECTION.md,"Protection requirements cover encryption, logging, access control, transport placement, caching and retention expectations."
v5.0.0-14.2.1,Data Protection,General Data Protection,1,Applicable,Manually Verified,docs/security/DATA_PROTECTION.md; app/views/runners.py,"Runner API and dispatch secrets are carried in headers; credential/package secrets are submitted in request bodies, not documented URL/query parameters."
v5.0.0-14.2.2,Data Protection,General Data Protection,2,Applicable,Automated,tests/security/test_data_retention_controls.py,Server-side inventory caches have bounded retention and protected application records are purged according to the configured retention policy.
v5.0.0-14.2.3,Data Protection,General Data Protection,2,Applicable,Automated,tests/security/test_cryptography_data_protection_controls.py::test_client_templates_do_not_load_third_party_tracking_scripts,Journeyman templates do not load common third-party analytics/tracking services that would receive application data.
v5.0.0-14.2.4,Data Protection,General Data Protection,2,Applicable,Automated,tests/security/test_data_retention_controls.py; docs/security/DATA_RETENTION.md,"Protected data now has explicit retention, purge, authenticated no-store caching, encryption/access-control, and deployment backup-retention requirements."
v5.0.0-14.2.5,Data Protection,General Data Protection,3,Applicable,Deferred,,"Journeyman does not intentionally provide a shared application cache, but end-to-end Web Cache Deception hardening across deployment reverse proxies has not yet been verified."
v5.0.0-14.2.6,Data Protection,General Data Protection,3,Applicable,Automated,tests/test_credential_reveal.py::test_reveal_button_is_visible_only_to_owner; tests/test_credential_reveal.py::test_credential_owner_can_reveal_secret,Credential values are masked by default and full recoverable values are returned only through an explicit owner-authorized reveal operation.
v5.0.0-14.2.7,Data Protection,General Data Protection,3,Applicable,Automated,tests/security/test_data_retention_controls.py; docs/security/DATA_RETENTION.md,Terminal Job evidence and dependent sensitive snapshots/outputs are automatically purged after the configured retention period.
v5.0.0-14.2.8,Data Protection,General Data Protection,3,Not Applicable,Not Applicable,,Journeyman currently has no general end-user file-upload feature whose submitted metadata is retained.
v5.0.0-14.3.1,Data Protection,Client-side Data Protection,1,Applicable,Automated,tests/security/test_session_management_controls.py::test_logout_clears_browser_session_and_requires_login_again; tests/security/test_cryptography_data_protection_controls.py::test_client_templates_do_not_use_browser_storage_for_sensitive_state,Logout clears the authenticated session and Journeyman application code does not use localStorage/sessionStorage/IndexedDB for sensitive state.
v5.0.0-14.3.2,Data Protection,Client-side Data Protection,2,Applicable,Automated,tests/security/test_data_retention_controls.py,All authenticated application responses receive no-store/no-cache headers centrally.
v5.0.0-14.3.3,Data Protection,Client-side Data Protection,2,Applicable,Deferred,,"Journeyman does not use localStorage/sessionStorage/IndexedDB, but the signed Flask client-side session cookie can contain authenticated identity/session metadata and is integrity-protected rather than encrypted."
v5.0.0-15.1.1,Secure Coding and Architecture,Secure Coding and Architecture Documentation,1,Applicable,Manually Verified,docs/security/SECURE_CODING_ARCHITECTURE.md,Risk-based third-party remediation targets are documented.
v5.0.0-15.1.2,Secure Coding and Architecture,Secure Coding and Architecture Documentation,2,Applicable,Automated,tests/security/test_release_provenance.py; scripts/build_release_provenance.py; docs/security/RELEASE_PROVENANCE.md,"Each release generates a version-bound SHA-256 source manifest and SPDX 2.3 SBOM from the exact production dependency lock, including direct and transitive Python components. The manifest records the dependency-lock digest and can verify installed release files for post-install modification; signing is performed with a maintainer-controlled release key outside production."
v5.0.0-15.1.3,Secure Coding and Architecture,Secure Coding and Architecture Documentation,2,Applicable,Manually Verified,docs/security/SECURE_CODING_ARCHITECTURE.md,Resource-demanding functionality and queue/concurrency/timeout defenses are documented.
v5.0.0-15.1.4,Secure Coding and Architecture,Secure Coding and Architecture Documentation,3,Applicable,Manually Verified,docs/security/SECURE_CODING_ARCHITECTURE.md,Risky third-party components are identified for additional review.
v5.0.0-15.1.5,Secure Coding and Architecture,Secure Coding and Architecture Documentation,3,Applicable,Manually Verified,docs/security/SECURE_CODING_ARCHITECTURE.md,"Dangerous functionality such as shell, Ansible, Git, runner bootstrap, and secret reveal is explicitly documented."
v5.0.0-15.2.1,Secure Coding and Architecture,Security Architecture and Dependencies,1,Applicable,Manually Verified,scripts/audit_release_dependencies.py; docs/security/DEPENDENCY_VULNERABILITY_MANAGEMENT.md; requirements-postgresql.lock,"The maintainer must audit every supported release dependency lock with pip-audit at least weekly and before release. Applicable findings require remediation, complete regression/security testing, regenerated lock/SBOM/provenance, and a new maintenance release; non-applicable or deferred findings require an explicit documented security exception."
v5.0.0-15.2.2,Secure Coding and Architecture,Security Architecture and Dependencies,2,Applicable,Automated,tests/security/test_secure_coding_architecture_controls.py::test_resource_demanding_execution_has_server_side_parallel_limits; tests/security/test_secure_coding_architecture_controls.py::test_remote_job_claim_uses_conditional_database_update,Project and runner execution capacity is bounded and queued work is atomically claimed.
v5.0.0-15.2.3,Secure Coding and Architecture,Security Architecture and Dependencies,2,Applicable,Automated,tests/security/test_secure_coding_architecture_controls.py::test_production_configuration_does_not_enable_debug_functionality; tests/security/test_configuration_controls.py::test_packaged_local_services_require_environment_file_and_web_is_production,Production configuration disables debug/development functionality and the packaged service pins ProductionConfig.
v5.0.0-15.2.4,Secure Coding and Architecture,Security Architecture and Dependencies,3,Applicable,Deferred,,A transitive dependency lock/SBOM with cryptographic provenance and dependency-confusion prevention is not yet enforced by Journeyman release tooling.
v5.0.0-15.2.5,Secure Coding and Architecture,Security Architecture and Dependencies,3,Applicable,Deferred,,Dangerous functionality has authorization and OS/service boundaries but is not generally sandboxed or separately containerized as required for this Level-3 control.
v5.0.0-15.3.1,Secure Coding and Architecture,Defensive Coding,1,Applicable,Automated,tests/security/test_secure_coding_architecture_controls.py::test_runner_assignment_manifest_is_an_explicit_field_subset; tests/security/test_cryptography_data_protection_controls.py::test_runner_bootstrap_secrets_are_random_and_only_digests_are_stored,Security-sensitive responses/manifests use explicit field subsets rather than whole ORM object serialization.
v5.0.0-15.3.2,Secure Coding and Architecture,Defensive Coding,2,Applicable,Automated,tests/security/test_outbound_redirect_controls.py; docs/security/OUTBOUND_REDIRECTS.md,"Git, Zabbix, and delegated Satellite/Foreman HTTP paths explicitly reject redirects; the Foreman subprocess receives a scoped Requests no-redirect guard."
v5.0.0-15.3.3,Secure Coding and Architecture,Defensive Coding,2,Applicable,Automated,tests/security/test_secure_coding_architecture_controls.py::test_request_data_is_not_bulk_mass_assigned_to_models,Controllers explicitly extract allowed request fields; bulk request-dictionary mass assignment is prohibited by regression test.
v5.0.0-15.3.4,Secure Coding and Architecture,Defensive Coding,2,Applicable,Automated,tests/security/test_secure_coding_architecture_controls.py::test_production_proxy_trust_is_explicit_and_bounded,Production ProxyFix trusts exactly one proxy hop and application code does not consume X-Forwarded-For directly.
v5.0.0-15.3.5,Secure Coding and Architecture,Defensive Coding,2,Applicable,Deferred,,"Security-sensitive inputs frequently perform explicit conversion/range checks, but Python is dynamically typed and universal strict type/comparator verification has not been demonstrated."
v5.0.0-15.3.6,Secure Coding and Architecture,Defensive Coding,2,Not Applicable,Not Applicable,,Journeyman does not accept or merge attacker-controlled JavaScript object graphs; no client-side object-merging/prototype-extension facility is used as an application data model.
v5.0.0-15.3.7,Secure Coding and Architecture,Defensive Coding,2,Applicable,Automated,tests/security/test_request_parameter_pollution.py,Journeyman rejects duplicate scalar query/form parameters before route handling while explicitly allowing only known multi-value form fields.
v5.0.0-15.4.1,Secure Coding and Architecture,Safe Concurrency,3,Applicable,Deferred,,"Journeyman coordinates core execution state through the database, but a complete review proving thread safety for every shared in-process/file resource has not been completed."
v5.0.0-15.4.2,Secure Coding and Architecture,Safe Concurrency,3,Applicable,Deferred,,"Atomic conditional database claims are used for runner work, but universal TOCTOU safety across filesystem and database check/action pairs has not been demonstrated."
v5.0.0-15.4.3,Secure Coding and Architecture,Safe Concurrency,3,Not Applicable,Not Applicable,,Journeyman does not implement application-managed thread lock graphs; coordination is primarily database/process based. Reassess if explicit threaded locking is introduced.
v5.0.0-15.4.4,Secure Coding and Architecture,Safe Concurrency,3,Applicable,Deferred,,"Gunicorn/process and runner concurrency limits exist, but Journeyman does not implement or verify a Level-3 fair thread scheduling policy."
v5.0.0-16.1.1,Security Logging and Error Handling,Security Logging Documentation,2,Applicable,Manually Verified,docs/security/LOGGING_ERROR_HANDLING.md,"The logging inventory documents the structured audit log, operational application logs, recorded metadata, access controls, storage expectations and known retention/centralization gaps."
v5.0.0-16.2.1,Security Logging and Error Handling,General Logging,2,Applicable,Automated,tests/security/test_logging_error_handling_controls.py::test_audit_event_contains_investigation_metadata,"Structured audit events retain timestamp, actor, authentication mechanism, action/result, object metadata, source IP and request correlation identifier."
v5.0.0-16.2.2,Security Logging and Error Handling,General Logging,2,Applicable,Deferred,docs/security/LOGGING_ERROR_HANDLING.md,"Audit timestamps are generated in UTC, but Journeyman does not currently verify time synchronization across the application host, database, runners and external systems."
v5.0.0-16.2.3,Security Logging and Error Handling,General Logging,2,Applicable,Manually Verified,docs/security/LOGGING_ERROR_HANDLING.md,The documented logging inventory identifies the database audit log and operational application/service logging channels used by Journeyman.
v5.0.0-16.2.4,Security Logging and Error Handling,General Logging,2,Applicable,Deferred,docs/security/LOGGING_ERROR_HANDLING.md,"The database audit log is structured, but Journeyman does not yet mandate one common parseable format and processor for all operational logs."
v5.0.0-16.2.5,Security Logging and Error Handling,General Logging,2,Applicable,Automated,tests/test_audit_log.py::test_audit_service_redacts_sensitive_detail_keys,"Audit detail keys associated with passwords, secrets, tokens, credentials, authorization, cookies and CSRF values are redacted before persistence."
v5.0.0-16.3.1,Security Logging and Error Handling,Security Events,2,Applicable,Automated,tests/security/test_logging_error_handling_controls.py::test_successful_and_failed_authentication_are_audited,Successful and failed interactive authentication attempts are persisted with result and authentication mechanism metadata.
v5.0.0-16.3.2,Security Logging and Error Handling,Security Events,2,Applicable,Automated,tests/security/test_logging_error_handling_controls.py::test_failed_authorization_is_audited,HTTP 403 authorization failures are captured centrally as authorization.denied audit events without request-body contents.
v5.0.0-16.3.3,Security Logging and Error Handling,Security Events,2,Applicable,Automated,tests/security/test_logging_fail_closed_controls.py,"Central rejection auditing records validation, conflict, and anti-automation failures while specific authentication/CSRF/authorization events remain available."
v5.0.0-16.3.4,Security Logging and Error Handling,Security Events,2,Applicable,Automated,tests/security/test_logging_fail_closed_controls.py,Security-control/backend authentication failures and unhandled exceptions are classified and represented in the audit trail.
v5.0.0-16.4.1,Security Logging and Error Handling,Log Protection,2,Applicable,Automated,tests/security/test_logging_fail_closed_controls.py,Structured audit JSON plus an application logging filter prevents CR/LF-controlled text from forging conventional log lines.
v5.0.0-16.4.2,Security Logging and Error Handling,Log Protection,2,Applicable,Deferred,docs/security/LOGGING_ERROR_HANDLING.md,"Audit viewing is administrator-only and no mutation route exists, but database-level append-only or tamper-evident enforcement is not yet implemented."
v5.0.0-16.4.3,Security Logging and Error Handling,Log Protection,2,Applicable,Deferred,docs/security/LOGGING_ERROR_HANDLING.md,Journeyman does not yet require secure forwarding of security logs to a logically separate SIEM/logging system.
v5.0.0-16.5.1,Security Logging and Error Handling,Error Handling,2,Applicable,Automated,tests/security/test_logging_error_handling_controls.py::test_last_resort_error_handler_returns_generic_message_and_logs_exception,Unexpected server exceptions produce a generic HTTP 500 response while detailed exception information remains server-side.
v5.0.0-16.5.2,Security Logging and Error Handling,Error Handling,2,Applicable,Deferred,docs/security/LOGGING_ERROR_HANDLING.md,"Several dependency failures fail closed, but Journeyman does not yet provide or verify a uniform circuit-breaker/graceful-degradation policy for all external resources."
v5.0.0-16.5.3,Security Logging and Error Handling,Error Handling,2,Applicable,Manually Verified,docs/security/LOGGING_FAIL_CLOSED_REVIEW.md,Application security boundaries were reviewed for fail-closed behavior; representative automated regression tests are referenced by the review.
v5.0.0-16.5.4,Security Logging and Error Handling,Error Handling,3,Applicable,Automated,tests/security/test_logging_error_handling_controls.py::test_last_resort_error_handler_returns_generic_message_and_logs_exception,A last-resort application HTTP 500 handler returns a controlled response and records unhandled exception details server-side.
v5.0.0-17.1.1,WebRTC,TURN Server,2,Not Applicable,Not Applicable,,"Journeyman does not implement WebRTC, TURN, DTLS-SRTP media handling, or WebRTC signaling; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-17.1.2,WebRTC,TURN Server,3,Not Applicable,Not Applicable,,"Journeyman does not implement WebRTC, TURN, DTLS-SRTP media handling, or WebRTC signaling; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-17.2.1,WebRTC,Media,2,Not Applicable,Not Applicable,,"Journeyman does not implement WebRTC, TURN, DTLS-SRTP media handling, or WebRTC signaling; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-17.2.2,WebRTC,Media,2,Not Applicable,Not Applicable,,"Journeyman does not implement WebRTC, TURN, DTLS-SRTP media handling, or WebRTC signaling; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-17.2.3,WebRTC,Media,2,Not Applicable,Not Applicable,,"Journeyman does not implement WebRTC, TURN, DTLS-SRTP media handling, or WebRTC signaling; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-17.2.4,WebRTC,Media,2,Not Applicable,Not Applicable,,"Journeyman does not implement WebRTC, TURN, DTLS-SRTP media handling, or WebRTC signaling; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-17.2.5,WebRTC,Media,3,Not Applicable,Not Applicable,,"Journeyman does not implement WebRTC, TURN, DTLS-SRTP media handling, or WebRTC signaling; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-17.2.6,WebRTC,Media,3,Not Applicable,Not Applicable,,"Journeyman does not implement WebRTC, TURN, DTLS-SRTP media handling, or WebRTC signaling; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-17.2.7,WebRTC,Media,3,Not Applicable,Not Applicable,,"Journeyman does not implement WebRTC, TURN, DTLS-SRTP media handling, or WebRTC signaling; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-17.2.8,WebRTC,Media,3,Not Applicable,Not Applicable,,"Journeyman does not implement WebRTC, TURN, DTLS-SRTP media handling, or WebRTC signaling; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-17.3.1,WebRTC,Signaling,2,Not Applicable,Not Applicable,,"Journeyman does not implement WebRTC, TURN, DTLS-SRTP media handling, or WebRTC signaling; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
v5.0.0-17.3.2,WebRTC,Signaling,2,Not Applicable,Not Applicable,,"Journeyman does not implement WebRTC, TURN, DTLS-SRTP media handling, or WebRTC signaling; see docs/security/TOKEN_OAUTH_WEBRTC_APPLICABILITY.md."
